azimuth_deg,elev_deg,dist_km,height_m_amsl,lat,lon
10.5,-0.2706,62.540,781.7,-21.32806,-47.79379
10.6,-0.2662,62.700,787.1,-21.32683,-47.79247
10.7,-0.2631,62.560,790.0,-21.32825,-47.79168
10.8,-0.2623,62.600,791.0,-21.32808,-47.79057
10.9,-0.2631,62.820,791.0,-21.32631,-47.78913
11.0,-0.2653,62.860,788.8,-21.32615,-47.78802
11.1,-0.2635,63.080,791.6,-21.32439,-47.78657
11.2,-0.2603,63.080,795.1,-21.32458,-47.78552
11.3,-0.2581,63.180,798.0,-21.32389,-47.78429
11.4,-0.2567,63.260,799.9,-21.32338,-47.78309
11.5,-0.2548,63.260,802.0,-21.32358,-47.78205
11.6,-0.2534,63.300,803.7,-21.32342,-47.78093
11.7,-0.2518,63.300,805.4,-21.32362,-47.77988
11.8,-0.2493,63.280,808.1,-21.32400,-47.77887
11.9,-0.2476,63.340,810.2,-21.32368,-47.77771
12.0,-0.2452,63.300,812.7,-21.32423,-47.77674
12.1,-0.2420,63.220,815.9,-21.32514,-47.77586
12.2,-0.2397,63.160,818.2,-21.32588,-47.77494
12.3,-0.2374,63.060,820.2,-21.32697,-47.77410
12.4,-0.2370,62.900,820.0,-21.32859,-47.77339
12.5,-0.2378,62.760,818.5,-21.33003,-47.77265
12.6,-0.2398,62.780,816.4,-21.33007,-47.77157
12.7,-0.2428,62.740,813.0,-21.33064,-47.77062
12.8,-0.2459,62.740,809.5,-21.33085,-47.76959
12.9,-0.2481,62.860,807.6,-21.33002,-47.76830
13.0,-0.2506,62.840,804.8,-21.33042,-47.76731
13.1,-0.2539,62.620,800.2,-21.33257,-47.76676
13.2,-0.2553,62.640,798.8,-21.33261,-47.76569
13.3,-0.2559,62.600,798.0,-21.33319,-47.76474
13.4,-0.2561,62.640,798.0,-21.33307,-47.76363
13.5,-0.2570,62.640,797.0,-21.33329,-47.76260
13.6,-0.2579,62.640,796.0,-21.33352,-47.76157
13.7,-0.2579,62.640,796.0,-21.33376,-47.76054
13.8,-0.2574,68.020,820.4,-21.28693,-47.74716
13.9,-0.2555,68.080,823.0,-21.28666,-47.74591
14.0,-0.2567,62.320,796.0,-21.33726,-47.75821
14.1,-0.2551,62.300,797.6,-21.33767,-47.75724
14.2,-0.2550,62.260,797.6,-21.33826,-47.75631
14.3,-0.2483,66.620,824.3,-21.30044,-47.74492
14.4,-0.2479,64.440,814.8,-21.31972,-47.74905
14.5,-0.2420,64.500,821.7,-21.31945,-47.74786
14.6,-0.2375,64.560,827.0,-21.31918,-47.74666
14.7,-0.2342,64.300,829.5,-21.32170,-47.74624
14.8,-0.2270,64.300,837.6,-21.32195,-47.74519
14.9,-0.2243,64.260,840.4,-21.32256,-47.74424
15.0,-0.2216,64.240,843.3,-21.32299,-47.74324
15.1,-0.2215,64.340,844.0,-21.32239,-47.74194
15.2,-0.2177,64.200,847.5,-21.32387,-47.74125
15.3,-0.2188,64.320,846.9,-21.32309,-47.73990
15.4,-0.2176,64.480,849.0,-21.32197,-47.73844
15.5,-0.2142,64.320,852.0,-21.32362,-47.73781
15.6,-0.2166,64.220,848.9,-21.32476,-47.73702
15.7,-0.2163,64.160,848.9,-21.32555,-47.73613
15.8,-0.2171,64.100,847.8,-21.32634,-47.73525
15.9,-0.2171,64.100,847.7,-21.32662,-47.73421
16.0,-0.2200,64.160,844.8,-21.32638,-47.73301
16.1,-0.2221,64.060,841.9,-21.32752,-47.73223
16.2,-0.2225,64.060,841.5,-21.32780,-47.73120
16.3,-0.2285,63.940,834.2,-21.32912,-47.73048
16.4,-0.2319,63.840,829.9,-21.33026,-47.72972
16.5,-0.2323,63.520,828.0,-21.33331,-47.72956
16.6,-0.2363,63.620,824.0,-21.33273,-47.72826
16.7,-0.2387,63.520,820.9,-21.33388,-47.72751
16.8,-0.2379,63.500,821.7,-21.33434,-47.72653
16.9,-0.2337,61.660,818.1,-21.35048,-47.73066
17.0,-0.2327,63.420,827.1,-21.33560,-47.72471
17.1,-0.2284,62.660,828.3,-21.34244,-47.72584
17.2,-0.2298,63.080,828.7,-21.33911,-47.72363
17.3,-0.2282,62.980,830.0,-21.34027,-47.72290
17.4,-0.2245,62.780,833.1,-21.34228,-47.72246
17.5,-0.2203,62.640,837.1,-21.34378,-47.72186
17.6,-0.2205,62.720,837.2,-21.34339,-47.72062
17.7,-0.2232,62.740,834.4,-21.34351,-47.71955
17.8,-0.2286,62.840,828.9,-21.34295,-47.71824
17.9,-0.2329,62.860,824.3,-21.34308,-47.71718
18.0,-0.2407,62.980,816.3,-21.34236,-47.71581
18.1,-0.2487,63.100,808.0,-21.34164,-47.71444
18.2,-0.2525,63.580,805.9,-21.33784,-47.71198
18.3,-0.2505,63.540,807.9,-21.33849,-47.71108
18.4,-0.2551,63.560,802.9,-21.33863,-47.71001
18.5,-0.2626,63.560,794.5,-21.33895,-47.70899
18.6,-0.2694,63.560,787.0,-21.33926,-47.70797
18.7,-0.2740,62.820,779.0,-21.34590,-47.70924
18.8,-0.2764,62.700,775.9,-21.34724,-47.70861
18.9,-0.2789,62.780,773.5,-21.34687,-47.70736
19.0,-0.2827,62.740,769.2,-21.34753,-47.70648
19.1,-0.2863,62.740,765.3,-21.34785,-47.70548
19.2,-0.2883,62.440,762.0,-21.35073,-47.70543
19.3,-0.2885,62.480,762.0,-21.35071,-47.70431
