azimuth_deg,elev_deg,dist_km,height_m_amsl,lat,lon
32.8,2.2482,37.580,2049.2,-33.09177,-70.56813
32.9,2.2732,37.560,2064.8,-33.09224,-70.56765
33.0,2.2880,37.540,2073.6,-33.09271,-70.56718
33.1,2.2842,37.560,2072.0,-33.09288,-70.56647
33.2,2.3306,55.380,2941.4,-32.95884,-70.46161
33.3,2.3580,55.360,2966.9,-32.95947,-70.46086
33.4,2.3905,55.340,2997.5,-32.96009,-70.46011
33.5,2.4019,55.360,3009.5,-32.96042,-70.45913
33.6,2.3876,55.380,2996.6,-32.96075,-70.45814
33.7,2.3847,55.420,2995.7,-32.96093,-70.45704
33.8,2.3842,55.460,2997.2,-32.96111,-70.45594
33.9,2.3989,55.480,3012.5,-32.96144,-70.45496
34.0,2.4207,55.420,3030.7,-32.96237,-70.45445
34.1,2.4155,55.420,3025.7,-32.96286,-70.45359
34.2,2.4204,55.380,3028.4,-32.96364,-70.45297
34.3,2.4559,55.340,3060.7,-32.96443,-70.45236
34.4,2.5459,55.260,3143.8,-32.96551,-70.45198
34.5,2.6018,55.320,3201.0,-32.96555,-70.45076
34.6,2.6155,55.380,3217.5,-32.96560,-70.44955
34.7,2.6092,55.380,3211.3,-32.96609,-70.44869
34.8,2.6039,55.420,3208.3,-32.96629,-70.44759
34.9,2.6146,55.420,3218.7,-32.96678,-70.44674
35.0,2.6471,55.440,3251.3,-32.96713,-70.44577
35.1,2.6463,55.440,3250.5,-32.96763,-70.44492
35.2,2.6584,55.440,3262.3,-32.96813,-70.44407
35.3,2.6840,55.380,3283.8,-32.96907,-70.44359
35.4,2.7192,55.800,3341.2,-32.96648,-70.44014
35.5,2.7573,55.920,3385.1,-32.96611,-70.43855
35.6,2.7735,56.140,3413.3,-32.96500,-70.43633
35.7,2.7825,56.520,3443.6,-32.96273,-70.43310
35.8,2.7640,56.540,3426.4,-32.96310,-70.43212
35.9,2.7238,56.560,3387.6,-32.96347,-70.43113
36.0,2.7236,55.180,3311.2,-32.97406,-70.43893
36.1,2.7452,55.040,3324.3,-32.97559,-70.43898
36.2,2.7469,55.040,3326.0,-32.97609,-70.43814
36.3,2.7378,55.080,3319.4,-32.97631,-70.43706
36.4,2.7392,55.060,3319.6,-32.97697,-70.43635
36.5,2.7511,54.980,3326.7,-32.97806,-70.43603
36.6,2.7670,54.880,3336.4,-32.97929,-70.43584
36.7,2.7682,54.840,3335.3,-32.98009,-70.43527
36.8,2.7922,37.720,2414.5,-33.10418,-70.54407
36.9,2.8161,37.720,2430.3,-33.10453,-70.54350
37.0,2.8169,37.660,2427.5,-33.10532,-70.54332
37.1,2.8256,37.600,2430.0,-33.10611,-70.54314
37.2,2.8555,38.380,2492.7,-33.10086,-70.53753
37.3,2.8842,38.360,2510.8,-33.10137,-70.53709
37.4,2.9382,38.340,2546.0,-33.10188,-70.53665
37.5,2.9607,38.300,2558.8,-33.10253,-70.53634
37.6,3.0041,38.240,2584.4,-33.10332,-70.53616
37.7,2.9931,38.260,2578.2,-33.10354,-70.53546
37.8,3.0228,34.580,2385.4,-33.13011,-70.55904
37.9,3.0702,34.560,2412.9,-33.13059,-70.55866
38.0,3.1298,34.540,2447.8,-33.13106,-70.55828
38.1,3.1804,34.560,2479.6,-33.13125,-70.55764
38.2,3.2214,34.600,2506.9,-33.13130,-70.55686
38.3,3.2391,34.680,2522.5,-33.13107,-70.55582
38.4,3.2478,34.760,2532.7,-33.13085,-70.55478
38.5,3.2346,34.740,2523.5,-33.13133,-70.55440
38.6,3.2256,34.740,2518.0,-33.13166,-70.55389
38.7,3.1906,34.780,2499.1,-33.13172,-70.55311
38.8,3.1575,34.820,2481.3,-33.13178,-70.55234
38.9,3.1094,34.840,2453.2,-33.13198,-70.55169
39.0,3.0614,34.840,2423.9,-33.13233,-70.55118
39.1,3.0336,34.560,2390.8,-33.13463,-70.55257
39.2,3.0506,34.440,2394.1,-33.13581,-70.55288
39.3,3.0779,34.420,2409.4,-33.13629,-70.55251
39.4,3.1062,33.340,2362.8,-33.14415,-70.55935
39.5,3.1511,33.420,2393.8,-33.14393,-70.55833
39.6,3.1978,33.480,2424.8,-33.14384,-70.55743
39.7,3.2302,33.560,2448.6,-33.14362,-70.55640
39.8,3.2257,33.600,2448.5,-33.14368,-70.55564
39.9,3.2073,33.580,2436.4,-33.14416,-70.55529
40.0,3.1838,33.580,2422.6,-33.14450,-70.55481
40.1,3.1653,33.560,2410.5,-33.14497,-70.55447
40.2,3.1470,33.560,2399.7,-33.14531,-70.55398
40.3,3.1229,33.540,2384.4,-33.14579,-70.55364
40.4,3.0895,33.540,2364.7,-33.14613,-70.55316
40.5,3.0732,51.840,3445.2,-33.02099,-70.42552
40.6,3.1034,51.880,3475.1,-33.02125,-70.42450
40.7,3.1346,51.840,3501.0,-33.02205,-70.42404
40.8,3.1459,51.800,3508.7,-33.02285,-70.42358
40.9,3.1678,51.740,3524.9,-33.02379,-70.42326
41.0,3.1936,51.660,3543.2,-33.02486,-70.42309
41.1,3.1619,51.400,3498.3,-33.02716,-70.42418
41.2,3.1599,50.980,3470.3,-33.03054,-70.42641
41.3,3.1772,51.060,3490.8,-33.03053,-70.42513
41.4,3.1863,51.060,3499.0,-33.03105,-70.42441
41.5,3.1729,51.020,3484.4,-33.03185,-70.42397
41.6,3.1449,50.940,3454.5,-33.03292,-70.42382
41.7,3.1284,50.860,3434.8,-33.03399,-70.42368
41.8,3.1167,50.780,3419.5,-33.03506,-70.42354
41.9,3.1228,50.660,3417.5,-33.03639,-70.42368
42.0,3.1600,50.440,3436.8,-33.03840,-70.42455
42.1,3.1737,50.360,3444.0,-33.03946,-70.42442
42.2,3.1469,49.340,3357.2,-33.04681,-70.43104
42.3,3.1722,49.440,3385.3,-33.04666,-70.42963
42.4,3.1861,49.020,3371.1,-33.04998,-70.43198
42.5,3.2176,48.920,3391.9,-33.05116,-70.43202
42.6,3.2243,48.880,3395.1,-33.05195,-70.43163
42.7,3.2274,48.860,3396.5,-33.05260,-70.43110
42.8,3.2280,48.800,3393.3,-33.05351,-70.43086
42.9,3.2044,48.680,3365.5,-33.05482,-70.43106
43.0,3.1956,48.620,3354.3,-33.05574,-70.43083
43.1,3.1991,52.400,3594.9,-33.03135,-70.40255
43.2,3.2253,52.440,3621.4,-33.03165,-70.40154
43.3,3.2648,52.440,3657.8,-33.03221,-70.40082
43.4,3.2881,52.440,3679.2,-33.03277,-70.40011
43.5,3.3130,52.440,3702.1,-33.03334,-70.39939
43.6,3.3140,52.420,3701.6,-33.03403,-70.39883
43.7,3.3102,52.320,3691.6,-33.03525,-70.39885
43.8,3.3106,52.220,3685.6,-33.03647,-70.39888
43.9,3.3194,52.100,3685.8,-33.03781,-70.39906
44.0,3.3451,51.920,3697.4,-33.03955,-70.39969
44.1,3.3796,51.540,3703.6,-33.04258,-70.40182
44.2,3.4044,51.800,3743.4,-33.04145,-70.39919
44.3,3.3658,51.580,3693.9,-33.04344,-70.40013
44.4,3.3287,51.560,3659.0,-33.04413,-70.39959
44.5,3.3068,51.580,3640.5,-33.04457,-70.39875
44.6,3.2926,51.700,3635.4,-33.04436,-70.39715
44.7,3.2814,51.740,3627.8,-33.04468,-70.39616
44.8,3.2610,51.500,3594.0,-33.04678,-70.39728
44.9,3.2506,51.480,3583.3,-33.04748,-70.39674
45.0,3.2529,51.440,3582.8,-33.04830,-70.39636
45.1,3.2538,51.460,3584.9,-33.04875,-70.39553
45.2,3.3323,50.520,3594.4,-33.05530,-70.40198
45.3,3.4012,50.440,3650.1,-33.05637,-70.40192
45.4,3.4488,50.320,3684.1,-33.05769,-70.40216
45.5,3.4743,49.860,3675.5,-33.06116,-70.40501
45.6,3.5140,49.560,3689.7,-33.06361,-70.40664
45.7,3.5595,49.500,3725.1,-33.06454,-70.40645
45.8,3.5802,49.440,3739.0,-33.06548,-70.40626
45.9,3.5936,49.420,3749.2,-33.06616,-70.40577
46.0,3.5856,49.520,3749.2,-33.06609,-70.40435
46.1,3.5803,49.560,3747.3,-33.06639,-70.40340
46.2,3.5502,48.620,3656.6,-33.07283,-70.41001
46.3,3.5126,48.080,3587.7,-33.07674,-70.41355
46.4,3.4730,48.080,3554.3,-33.07729,-70.41293
46.5,3.4486,49.240,3611.5,-33.07062,-70.40331
46.6,3.4463,49.160,3604.1,-33.07168,-70.40329
46.7,3.4210,49.440,3600.9,-33.07050,-70.40048
46.8,3.4185,49.480,3601.4,-33.07082,-70.39953
46.9,3.4375,49.520,3620.6,-33.07114,-70.39858
47.0,3.4332,49.560,3619.6,-33.07146,-70.39763
